Rating,Review
6,"Previous movies had a better story with more dialogues to make it interesting. Just felt like the movie was running out of ideas for the story and dialogues. But the action scenes were amazing shooting & fight scenes were taken to another level. Filming one shooting scene from above to see what is going on the other side of the room was awesome and interesting.

Hopefully this will be a lesson for the producer, that people want dialogues aswell as action in movies. Not just Keanu saying sorry and you owe me... The dialogues were to few for today's audience to completely enjoy this movie. Story and dialogues are as important as action in a movie."
9,"Half of this review will be me gushing about the action. Wow. Just wow. I was in complete awe. There were multiple times I was both tearing up and laughing at how unbelievably amazing the fight scenes are. Now this is nothing new for the John Wick series. But for me, this is far and away the best action of the entire series.

I'm an action junkie and am repeatedly disappointed with action movies and their terrible fight scenes, filled with shaky cam, quick cuts and close-up shots (looking at you Snake Eyes and Mortal Kombat). Then I watch a John Wick movie and feel so spoiled, while also being baffled at why other action movies can't learn from this. The fights are so fast-paced yet completely clear and easy to follow.

There is every kind of fighting imaginable. So many weapons, styles, chases, vehicles, animals, everything. So much creativity with the kills. Amazing combinations of weaponry and fighting styles (pistol/sword combo is my fave).

The music is awesome as usual, maybe even a step up. It enhances every action scene. The cinematography is pristine. So many beautiful shots, so many mesmerizing locations for the action. It is stylistically beautiful.

There are a couple of scenes that are shot in such a creative way that I've never seen before. One is an overhead shot one-take that I couldn't believe. It takes the movie to a new level. So many scenes feel like they're a video game brought to life. Numerous times it feels like the VR game Pistol Whip.

Donnie Yen is awesome. End of paragraph.

About an hour into this nearly 3-hour movie, I felt like I experienced enough action amazingness for an entire movie. I was in a state of ecstasy. Not only was this looking like the best of the series, I started wondering if this would be a landmark action flick. Maybe it's my own fault for setting expectations so high mid-movie, but the second half is more flawed, though still awesome.

The subplot with the tracker doesn't seem at all consequential. And his dog attacks were already done, and better, with Halle Berry in Parabellum. A few of the issues I had with Parabellum pop up again, like overdoing it sometimes with the damage he takes. For example, instead of getting hit by one car, he gets hit by three cars. And that's a mild example. Also, it's fairly anticlimactic.

Even with those flaws, I had a BLAST with this movie and will definitely see it at least once more in theaters. Seeing it on a premium screen is a must. Loudest speakers, biggest screen. TRUST ME.

EDIT: I was itching to go again since opening night. I wasn't able to wait more than 5 days. On second viewing, I still felt the same flaws, but I didn't care. The action is incredible. It has at least four* of my all-time favorite action scenes. I want to watch these scenes a hundred times.

It's definitely not perfect, but I still consider it an action landmark (last time I said that was Mad Max: Fury Road). Every other action movie should learn from this. Updating rating from 8 to 9 stars.

(5 viewings, opening Thursday UltraScreen 3/23/2023, UltraScreen 3/28/2023, SuperScreen 4/10/2023, re-issue IMAX 5/2/2023, 9/22/2023)"
6,"The story was ok but could have been better flushed out. Fight scenes are great but they were way too long and so unrealistic. Not nearly as good as the other 3 movies. If they would have given us a little more background on some of the new characters it would have made more sense and given them more depth. In previous movies John would use his Krav Magra skills to take down or slow down someone then a double tap to the head would usually be sufficient. Those fight scenes were outstanding and believable. Almost all of fights in this movie ridiculous. People were shot and stabbed several times and looked like they weren't hurt. How many times did John get hit by a car and just walked away? How many times do you have to hit someone in the face with nunchucks before they go down. I used to think John was special. The Baba Yaga. But in this version he is made to look almost invincible. Really, did they have to get so far away from reality this time. I left somewhat disappointed. Was I watching a movie or a video game?"
4,"In my opinion this is by far the worst movie of the franchise. It's just way too over the top. Everybody seems to have magical jackets now to stop the bullets.

Audience loved the dogs on the third one so that just lazily copied one here also but didn't bother to have any real cool scenes with it.

I'm happy they made John Wick 1 but since then every movie getting worse and worse. This one was already so bad that I regret spending any money to see it.

People shooting and dying in center of Paris but police doesn't seem to care.

John Wick getting shot, falling from great heights etc without any issues."
10,"We all walk into John Wick 4 with expectations of what we will see, standards we refuse to lower and excitement already creeping in. From the first second it engages you, no hesitation, no quarter. And it's only the beginning. I read somewhere that a reviewer had said that there wasn't a wasted moment in this film and I watched it questioning the validity. They weren't wrong. Each conversation has a purpose, each scene makes a point. From the gunfight samurai scene in Tokyo to the phosphorus gunfight shot from above in Paris, the action doesn't diminish. Normally a sequel is ""lesser"" but John Wick 4 simply builds onto the quadrilogy. It makes sense, it continues the story and the characters get all the more interesting.

I can tell you right now, if the phosphorus gunfight scene doesn't impress you (which it will), the Paris traffic carnage scene is brilliant. I can't say I have ever seen someone do full continuous 360 drifting in a muscle car either :D

I know Keanu said that Chad Stahelski and himself were taking a long break from the John Wick series but should we have seen the end, it ended on a note I feel we could live with. If they can find another story that will build onto the John Wick series then so be it but if not, I truly left the movie happy and felt it was done.

Don't leave until after the credits are done. Trust me, it's not finished."
8,"That lasted 169 minutes? I had no idea. The time just flew right by.

Chad Stahelski does not pull any punches (or engage the safety) at any time in this gun-fu epic. Combat scenes are not moments so much as they are entire acts. The amount of stunt choreography that everybody had to synchronize to was rather incredible, and they continue to find more ways to entertain us with kills, kill types, use of weapons, locations, teamwork, etc. I caught myself smiling for minutes on end several times while watching it.

Of course though, as I said, they really lean into it. I'm sure this has been true of previous films as well, but it is very apparent that John Wick should virtually die in every scene that he is in. Whether it is how he is attacked or how they fail to attack him at the right times, he goes at every foe like the bear in The Revenant with full adrenaline and no signs of slowing down no matter what he is hit by. And again, I think if you look hard enough you will find enemies who have clear shots and choose not to take them because of plot armor, but you can forgive it enough if you're rewarded with a longer take or overall longer action sequence. What I really loved was how many of these scenes took place at night with dazzlingly lit environments all around, and the music in every scene kicks as much *** as what you see on screen. I had pondered over why John Wick doesn't have a video game yet, but if they ever make one I have decided I'd like one of those top-down shooter games (similar to The Hong Kong Massacre, and if not maybe like the GTA:SA MP rampage style).

I acknowledge this franchise for what it is now, but I still pine for some of the missing components that I don't know if it'll ever be able to bring back. After watching John Wick, fun as it was, I found myself interested in seeing a prequel when he was the Baba Yaga in his prime, taking missions rather than being hunted. Even still, at least in that movie he was absolutely feared. In Chapter 2, I still found him heavily respected, but it was in that movie that I realized there would probably be a repetitive formula to the narrative and movie/action structure (which still has yet to break). In Chapter 3, there only lived assassins and they would go after him without hesitation, which did is not how I felt the world breathed the first time around. They continue down this path in Chapter 4, while opening the universe more to different characters breeding their own kind of loyalty. They are all insanely fun to watch, and you see the cogwheels of the John Wick universe spinning with the future Continental television show and the Ballerina movie spinoff. Where they remain faulty though is even with the existence of civilians during fight scenes, they act as droning NPC's like nothing is happening around them, or they aren't there whatsoever. It is clear that this is not our world that this movie takes place in, but rather a parallel one.

I mentioned the introduction of new characters in this world, and you can't not bring up Donnie Yen when talking about them. He steals each and every scene that he is in, and it's crazy because you wonder how a character like his could thrive in such a world but you absolutely believe it when you watch it. I will absolutely take more of him and Rina Sawayama. She isn't featured as much, but she makes use of every second that she is in front of the camera. There are plenty of others (such as the great Hiroyuki Sanada), but the point remains that Wick is relegated to this greater universe with characters who-good, bad, or for themselves-are ones we can actually root for in any fight. Keanu Reeves is understandably less nimble at his age than the others (and it's either bad acting or he really has taken on this John Wick role in his line delivery to hilarious new heights), but he and Stahelski have found a groove that still makes him the most impenetrable force around, to the point that I go back and watch the action scenes in The Matrix Resurrections and wonder what happened there. I didn't love one particular character in their big fighting moment(s), but they go for versatility and I have to give them that much.

March has had an incredible run of theatrical films, and John Wick: Chapter 4 is no different. You will lean forward during the action which there is plenty, and if I'm one to go off of you will not feel the runtime. There is an end credits scene as well if you're able to stay for a moment longer. I would love to go back and see this one again."
10,"I never read the good reviews in anything. Movies, TV, Videogames... Never... I always read the bad reviews only.

When i see many reviews that say ""worst movie ever"" the chances are high that the movie is decent and worth a view. Those people never watch actually bad movies or they would know that there is no one worst movie ever... There is thousands of them...

When i see many reviews that say ""I'll never get those 2 hours back"" or ""i wasted 2 hours of my life"" i know that the movie is pretty good and I'm gonna like it. To those people... Just sleep less time some days. Even 5 minutes less a day can get you your wasted hours back in no time...

But when i see even just one review that complain about that the fourth movie of a franchise is the worst and the whole franchise sucks and yet they have sit through the whole franchise since they are able to criticize it, then the movie is a masterpiece... And Chapter 4 is a masterpiece... Enjoy if you are an action fan, you deserve this👍👍👍

Update: When i see reviews with the expression ""Are people blind""? The movie is probably an 11/10. Blind people have their other senses very enhanced and know better from people with mediocre levels of all of their sense and are completely ignorant about what subjective means..."
10,"Indiana jones, terminator, predator, Jurassic park, the matrix, Jason bourne, etc. All amazing franchises but all share a common trait of having a bad or forgettable movie or 2 at some point. This is why john wick is the best action action movie franchise of all time; The movies just keep getting better and better. In john wick 4, when the action starts in Osaka Japan, it never let's up despite it's almost 3 hour running time. What I really enjoyed the most about JW4 is the cast of characters. Great villains and allies really keep this movie interesting as john trots the globe for 3 hours. The sound engineering, editing, direction, cinematography are excellent as always. The color schemes throughout this franchise (more john wick 2, 3 and especially 4) are such a treat for the eyeballs. Best action franchise EVER. And the shotgun fight in Paris with the ""dragons breath"" is the best action sequence I've probably ever seen in my life."
6,"I'm gonna have to rewatch this one another day. But I found myself beginning to doze off repeatedly like an hour 1/2 into the movie. I can't quite put my finger on it. The villain was definitely boring, the story line and dialogues seemed a bit stretched out. The fight scenes and overall feel of them didn't quite do it for me like the first 3 movies did. I think there's gonna be mixed reviews on this one. I felt there were several plot holes. And I'm in limbo about how I feel about the ending. It seemed fitting but then also didn't...? Lol. Idk man I just think some lazy writing went into play on this one."
9,"John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off. As has been the tradition in the sequels to this beloved martial arts action franchise the action starts from the very inception of the film's opening, and lasts until the curtain falls. JW4 is no exception to that rule. What it does do is improve on the prior installment, and solidify Keanu Reeves as the greatest martial arts action star of all time. If you don't accept that notion, then you must accept the fact that it solidifies Reeves and Director, Chad Stahelski, as the greatest martial arts action pairing of modern times.

The film opens in New York City, the home of the notorious Continental Hotel, and takes us to Osaka Japan, Paris France, and Berlin Germany. Each of those cities plays a major role in Reeves' quest to seek revenge against the High Table for the acts outlined in the prior films, and to seek his unconditional freedom from service to their order.

As the story unfolds we learn a bit more about Wick's past and upbringing than we did in the prior films, but not enough to get bogged down in. He uses his connections to his past, and the help of some old friends to find a path to level the playing field with the High Table's Emissary, The Marquis, played masterfully by Bill Skarsgård. Skarsgård makes the character memorable, and unique, with just a hint of Santino from the second installment.

Keanu Reeves as John Wick in John Wick 4. Photo Credit: Murray Close Hiroyuki Sanada and Reeves are reunited, having starred in 47 Ronin together. Sanada, as is always the case, is a strong presence in the film and makes the most of every scene he is in. He is a great addition to the film. The Osaka Continental fight scenes are groundbreaking, and among the best and most exciting in the entire series. This is some of the best fight and action choreography you will see; only topped by other scenes in this same movie.

Scott Adkins plays an unusually larger than life villain adeptly. The action and violence around the Berlin scenes involving his character, and his relationship to Reeves' past is fun to watch. Adkins is great to watch, whether starring in his own projects, or supporting, as he is here.

Shamier Anderson and Clancy Brown are new to the series and add great value. Anderson as a cunning assassin conflicted between admiration and greed. Clancy Brown is a strong presence and welcome replacement in the role of Adjudicator. I found Asia Kate Dillon's version of the same character to be the weakest part of the prior film, and, perhaps, of the whole series.

Mark Zaror, another great martial artist also has a prominent role as The Marquis' right hand man.

Ian McShane and Laurence Fishburne return and offer more than just familiarity to the cast. Their roles are significant and meaningful.

Donnie Yen brings not only his skills as one of the finest martial arts movie stars in the world, but lends his presence as a charismatic and riveting figure. He plays the role of Caine with complexity and humanity that is a terrific mirror to Reeves' Wick; his friend and adversary by circumstance. This was a fantastic choice to take the Wick series to a new level.

Keanu Reeves continues to be engaging, empathetic, and dynamic in the role of John Wick. While the series has strayed a bit from the deeply reluctant anti-hero of the first film; we continue to cheer for the good guy caught up in a bad, bad world. One of the great strengths of the film is that Reeves and Stahelski are not afraid the let characters other than Wick shine. In fact, all of the stars of this one have their deeply profound and memorable moments in and out of the company of the main character. This really works.

As for the fight and action choreography. The stunt team at 87eleven continue to elevate the game. The film has three major, larger than life action sequences, that each, individually, outdo anything you will see in any other non John Wick movie. As mentioned previously, the Osaka and Berlin scenes were high energy, high body count affairs. They were complete with gun fights, sword mastery, gun play, and one of the best nunchuck displays you will ever see outside of a Bruce Lee movie. As for the scenes in Paris, at the Arc De Tripomphe, and on the Church steps, they are unlikely to be forgotten and, unlikely, to be topped for years to come, if ever. They are unique and exciting and violent feasts for the eyes.

While I have heard some say that John Wick: Chapter 4 is the best installment in the series I have to disagree, Nothing can top the original, in my opinion; however, Chapter 4 is a worthy installment for sure.

Will there be a Chapter 5 to the JohnWick saga? Remember, I said this was a Spoiler free review....

John Wick: Chapter 4 earns a 5 out of 5 star rating. It is worth seeing, and probably seeing again. I predict a significant box office gross for this one, and it is well deserved."
6,"I don't want to leave the impression that I hated everything about this movie, so I will start with some of the good things.

Some of the scenes had amazing cinematography and were really fun to watch, as well as is expected from a John Wick movie, the fight scenes can have really good choreography.

What I don't understand is if the idea for this movie is to be a parody of itself.

John is killing wave after wave of unnamed henchmen, being kicked and hit multiple times but never stopping, even tumbling down 200 starirs TWICE was not enough to stop him, it was just ridiculous.

It had its fun moments, but the movie was just toooo long and too unrealistic. No idea how it has a 8.5 rating."
8,"I don't get why this movie has a high score, it doesn't deserve it. It's horrible, it doesn't make any sense, just killing people, but how can it be possible that those people after being shot many times, were able to fight as nothing happened to them? And the plot? Trying to kill John Wick in any way possible, period.

The worst thing is that they used some scenes from the movie The Warriors (1979), they didn't try to change anything, a black woman with nice big lips, talking on the radio, guiding the gangs with the purpose to chase and kill The Warriors. Same with John Wick, but of course with a modern technology. Shame on you! Didn't you have any better idea? You just copied an old movie that was much better than this one, and that soundtrack was great!

What a disappointment! It remembers somehow Kill Bill, but that movie was very good, this one is almost unacceptable!

I enjoyed the other movies about John Wick, they were very well done, and had a good plot. This time it seems like they didn't know what to write.

Not even the ending was good, is he really dead? We can't be sure, and probably there will be a John Wick 5, because something is missing. Anyway the fight against the thugs, before the last duel, was really bad... just a videogame."
6,"If you enjoy watching other people play video games then you'll definitely enjoy this.

There's lots of action, weapons and style - all the things we've come to expect from a John Wick film.

Of course it's ridiculous - all of them are. The mere idea that you can deflect bullets with a jacket lapel gives you an indication of how far from reality this film is. Keanu Reeves sustains what would be critical injuries half a dozen times - and shakes it off without any ill effects.

With one exception, the amount of damage a character can sustain appears to be directly related to how important they are to the story. Most of the victims in the extensive gun battles (at one point it appears Keanu Reeves is single-handedly depopulating Paris) are gone after a couple of shots. If you have a speaking part then you can take much more damage than any of the extras.

The whole idea of the ""secret assassin society"" only works if you don't draw attention to yourself"". So having a full blown Blackwater Contracting reunion at the Arc de Triumph isn't exactly the best way of keeping things on the down low.

Throw in a Mr Chow-esque (from the hangover) character and then deciding to make him blind really shows how silly things have got. Last time I checked, gunfighting requires you to be able to at least the person you want to shoot. That said, he is at least still more convincing than Ruby Rose was.

The first John Wick film was such a hit because the audience felt a connection with his loss and wanted him to be successful seeking revenge on what were some nasty (if ineffective) bad guys. At this point I'm not really sure what John Wick is supposed to be fighting for. He just lurches from one noir styled location to the next before embarking on an unrestrained killing spree, leaving dozens dead in his wake - you wonder if these people have families.

If you liked the second and/or third film, then you'll like this. It requires little to no thought and the plot is as by the numbers as you'd expect.

That said, the action, although resembling a video game, is very well shot, there's lots of cool locations and stylish outfits. Despite the tactical nonsense and the fact that the bad guys wait in line for their turn to attack him, Keanu Reeves has genuine skill in martial arts and pistol shooting.

It's as constructive a use of time as playing 3 hours of Call Of Duty in your best suit."
4,"What is all the raving about with this movie? I felt it lacked a decent storyline and was 2 hours and 35 mins of fighting while the remaining 10 or so minutes was acting.

The usual far too long fighting scenes where he does his usual MMA moves by getting the enemies head between his legs while he reloads his gun and shoots him the head.

For me it was at least an hour too long and could have been much shorter. The storyline was very weak and after such a long gap between this and John Wick 3 I am surprised it was written better.

I also have no idea why this review has to be a minimum go 600 characters?

Yes we."
9,"John Wick series have always been over-the-top action / thriller joyrides more focused on dazzling you with visceral, expertly choreographed action sequences than trying to tell the most coherent stories about stylish assassins. Director Chad Stahelski's John Wick: Chapter 4 is no exception. And it abundantly delivers on the franchise's hallmarks - snazzy guns, lovable dogs, and one very haggard man in black. John Wick: Chapter 4 isn't a movie you casually sit down to watch apropos of nothing. It's a commitment, both in terms of how long it is and in how invested you really have to be in the idea of John Wick for the film to be engaging. To its credit, John Wick: Chapter 4 does an admirable job of leaving open possibilities for a future filled with stories of some of the movie's new supporting characters. It comes as a pleasant surprise given how much time this story spends trying to remind you that Wick is the baddest man in town. It's a movie that's meant to be watched loud and big. Remember ! John Wick has fought hard for it."
10,Quite possibly the best action movie of the decade. It's only 2023. This one is currently number one. Terminator 2 is the best action movie of all time. The raid 2 is the best action sequel of all time. This movie is the best 4th movie in a series of all time. Props to lethal weapon 4 as well. Keanu is a bad ass ok. He moves a little slow in the beginning but by the time the second half comes along he moves like a martial arts madman. That being said.. the nunchucks he incorporates into his character in that first half is brilliant. The set pieces in this are absolutely fantastic. The music is perfectly incorporated as well. There were a few nods to some classic flicks too. Movie buffs will catch them.
